Run,P,N,Time
1,1,5000,1.373213
2,1,5000,1.384387
3,1,5000,1.383774
1,2,7071,1.384435
2,2,7071,1.385221
3,2,7071,1.384792
1,4,10000,1.386778
2,4,10000,1.387227
3,4,10000,1.389928
1,8,14142,1.389909
2,8,14142,1.385496
3,8,14142,1.389359
1,12,17320,1.388785
2,12,17320,1.420332
3,12,17320,1.416515
1,16,20000,1.392019
2,16,20000,1.391739
3,16,20000,1.391831
1,20,22361,1.391582
2,20,22361,1.392571
3,20,22361,1.393141
1,24,24494,1.400232
2,24,24494,1.406589
3,24,24494,1.405364
