Run,P,N,Time
1,1,1000,0.041295
2,1,1000,0.036587
1,2,14140,4.145585
2,2,14140,4.170309
1,4,2000,0.050285
2,4,2000,0.050008
1,8,2828,0.058633
2,8,2828,0.053715
