Run,P,N,Time
1,1,1000,0.341886
2,1,1000,0.335987
1,2,14140,9.571328
2,2,14140,8.788196
1,4,2000,0.461593
2,4,2000,0.492089
1,8,2828,0.689247
2,8,2828,0.678628
