Run,P,N,Time
1,1,10000,9.024660
2,1,10000,8.949293
3,1,10000,8.946049
1,2,10000,5.819942
2,2,10000,5.852895
3,2,10000,5.827046
1,4,10000,4.361769
2,4,10000,4.364073
3,4,10000,4.362796
1,8,10000,3.647020
2,8,10000,3.695851
3,8,10000,3.669208
1,12,10000,3.507805
2,12,10000,3.524979
3,12,10000,3.515817
1,16,10000,3.415878
2,16,10000,3.441152
3,16,10000,3.441484
1,20,10000,3.479835
2,20,10000,3.474292
3,20,10000,3.484844
1,24,10000,3.723851
2,24,10000,3.744936
3,24,10000,3.696229
