Run,P,N,Time
1,1,5000,2.413413
2,1,5000,2.417673
3,1,5000,2.413373
1,2,7071,3.080555
2,2,7071,3.093742
3,2,7071,3.082096
1,4,10000,4.452344
2,4,10000,4.453802
3,4,10000,4.469260
1,8,14142,7.277066
2,8,14142,7.267125
3,8,14142,7.259200
1,12,17320,10.300145
2,12,17320,10.279612
3,12,17320,10.179996
1,16,20000,13.065674
2,16,20000,12.871551
3,16,20000,12.942173
1,20,22360,16.029382
2,20,22360,15.888352
3,20,22360,16.164034
1,24,24494,19.109699
2,24,24494,19.086760
3,24,24494,19.094379
